,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
75,164383,Luminor Submersible,PAM00692,11145,12880,2019,Yes,Yes,Mens,Automatic,47 MM,BMG-TECH,Rubber - Black,Blue,300 metres,25/10/2020 11:30:10,https://www.watchfinder.es/Panerai/LuminorSubmersible/PAM00692/34614/item/164383,../data/imgs/WF_panerai/164383_PAM00692_Luminor Submersible.jpeg
76,165424,Manifattura Radiomir,PAM00268,6330,,2009,Yes,Yes,Mens,Manual,45 MM,Steel,Crocodile - Black,Black Baton,100 metres,25/10/2020 11:30:14,https://www.watchfinder.es/Panerai/ManifatturaRadiomir/PAM00268/6323/item/165424,../data/imgs/WF_panerai/165424_PAM00268_Manifattura Radiomir.jpeg
77,168163,Manifattura Luminor,PAM00270,8905,12095,2012,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Quarter Arabic,100 metres,25/10/2020 11:30:17,https://www.watchfinder.es/Panerai/ManifatturaLuminor/PAM00270/37809/item/168163,../data/imgs/WF_panerai/168163_PAM00270_Manifattura Luminor.jpeg
78,167915,Luminor Due,PAM00906,5880,6160,2018,Yes,Yes,Mens,Automatic,42 MM,Steel,Crocodile - Black,White Arabic,30 metres,25/10/2020 11:30:21,https://www.watchfinder.es/Panerai/LuminorDue/PAM00906/48031/item/167915,../data/imgs/WF_panerai/167915_PAM00906_Luminor Due.jpeg
79,155483,Luminor Marina,PAM00438,9690,13665,2013,Yes,Yes,Mens,Automatic,44 MM,Ceramic - Black,Ceramic - Black,Black Arabic,100 metres,25/10/2020 11:30:24,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00438/23840/item/155483,../data/imgs/WF_panerai/155483_PAM00438_Luminor Marina.jpeg
80,162911,Luminor Marina,PAM00392,5320,,2013,Yes,Yes,Mens,Automatic,42 MM,Steel,Alligator - Black,Black Baton,100 metres,25/10/2020 11:30:27,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00392/23833/item/162911,../data/imgs/WF_panerai/162911_PAM00392_Luminor Marina.jpeg
81,144484,Luminor Marina,PAM00359,5515,,2013,Yes,Yes,Mens,Automatic,44 MM,Steel,Leather - Black,Black Arabic,300 metres,25/10/2020 11:30:30,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00359/36399/item/144484,../data/imgs/WF_panerai/144484_PAM00359_Luminor Marina.jpeg
82,166215,Luminor Marina,PAM00359,5570,,2014,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Arabic,300 metres,25/10/2020 11:30:34,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00359/36399/item/166215,../data/imgs/WF_panerai/166215_PAM00359_Luminor Marina.jpeg
83,168252,Luminor Marina,PAM00279,5825,,2008,Yes,Yes,Mens,Automatic,44 MM,Titanium,Titanium,Black Baton,300 metres,25/10/2020 11:30:37,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00279/6302/item/168252,../data/imgs/WF_panerai/168252_PAM00279_Luminor Marina.jpeg
84,157530,Luminor Marina,PAM00164,5210,,2006,Yes,Yes,Mens,Automatic,44 MM,Steel,Rubber - Black,Black Arabic,300 metres,25/10/2020 11:30:40,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00164/36647/item/157530,../data/imgs/WF_panerai/157530_PAM00164_Luminor Marina.jpeg
